subject,body,sender,num_links,label
Security Alert: Unusual login detected,"Dear Chris, our system detected a login attempt from an unrecognized device on this Friday. If this wasn't you, secure your account now at http://account-verify-now.net/secure-login.",account.security@account-verify-now.net,1,phishing
Reminder: Submit your timesheet,"Hello Jordan, good news - your order #91085 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",billing@teamworkspace.com,0,legitimate
We noticed a new device sign-in,"Hi Priya, invoice #60523 for $556.13 could not be processed. Update your payment method at http://verify-identity-now.top/pay-now to avoid late fees.",support.team@verify-identity-now.top,1,phishing
Your invoice #92674 could not be processed,"URGENT: Your subscription (order #72873) has been cancelled due to a billing issue of $2,245.62. Renew immediately at http://prize-claim-center.xyz/renew-now to avoid losing your data.",it.helpdesk@prize-claim-center.xyz,1,phishing
Confirm your identity to avoid suspension,"Hi Alex, invoice #18399 for $1,092.28 could not be processed. Update your payment method at http://secure-login-update.com/pay-now to avoid late fees.",it.helpdesk@secure-login-update.com,1,phishing
Re: 71149 follow-up,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by Monday, June 9. More info at https://ourplatform.io/details",priya.nair@ourplatform.io,1,legitimate
Urgent: Your account will be suspended,"This is an automated alert from your bank. A transaction of $1,824.56 was flagged on August 21. Verify this transaction immediately at http://billing-update-portal.co/secure-verify or your card will be blocked.",support.team@billing-update-portal.co,1,phishing
Upcoming maintenance window notice,"Hi Alex, thanks for your order. Your receipt total was $1,260.93. Reach out anytime with questions.",team.updates@teamworkspace.com,0,legitimate
Welcome to our platform,"Hi Taylor, attached is the invoice #56052 for your recent purchase of $1,276.57. Let us know if you have any questions about the charges or need a receipt.",support@notifications.service.com,0,legitimate
Project update: Q3 milestones,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by August 21.",priya.nair@teamworkspace.com,0,legitimate
Feedback request for recent support ticket,"Hi Alex, thanks for your order. Your receipt total was $2,309.58. Reach out anytime with questions.",priya.nair@teamworkspace.com,0,legitimate
Weekly team standup notes,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by March 14.",support@company.com,0,legitimate
Your monthly newsletter,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by March 14.",billing@notifications.service.com,0,legitimate
Your order has shipped,"Hi all, here is a quick update on our Q3 milestones. We are on track to complete the design phase by March 14.",support@teamworkspace.com,0,legitimate
Bank Alert: Unauthorized transaction detected,"Final Notice: Your account is scheduled for permanent closure on Monday, June 9. Verify your information within 6 hours at http://verify-identity-now.top/verify-now to prevent this.",billing.department@verify-identity-now.top,1,phishing
Welcome to our platform,"Hi team, just a reminder that we have our project sync meeting on next Tuesday at 10 AM in the main conference room. Please bring your status updates.",alex.rivera@company.com,0,legitimate
Urgent: Your account will be suspended,"Hi Chris, invoice #47989 for $1,249.77 could not be processed. Update your payment method at http://account-verify-now.net/pay-now to avoid late fees.",it.helpdesk@account-verify-now.net,1,phishing
You have won a prize! Claim now,This is an automated alert from your bank. A transaction of $485.69 was flagged on the 3rd. Verify this transaction immediately at http://billing-update-portal.co/secure-verify or your card will be blocked.,billing.department@billing-update-portal.co,1,phishing
Reminder: Submit your timesheet,"Hello Morgan, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates.",billing@company.com,0,legitimate
Feedback request for recent support ticket,"Good morning team, here are the notes from this week's standup on next Tuesday. Please review the action items and update your tickets accordingly. More info at https://teamworkspace.com/details",jordan.lee@teamworkspace.com,1,legitimate
Urgent: Your account will be suspended,Your parcel (tracking #20803) delivery failed due to an incomplete address. Confirm your details within 48 hours at http://billing-update-portal.co/delivery-confirm to reschedule delivery.,account.security@billing-update-portal.co,1,phishing
Meeting reminder for tomorrow,"Hi Sam, attached is the invoice #72411 for your recent purchase of $1,982.37. Let us know if you have any questions about the charges or need a receipt.",support@ourplatform.io,0,legitimate
Immediate action needed: Password expired,This is an automated alert from your bank. A transaction of $237.24 was flagged on March 14. Verify this transaction immediately at http://verify-identity-now.top/secure-verify or your card will be blocked.,it.helpdesk@verify-identity-now.top,1,phishing
Bank Alert: Unauthorized transaction detected,"Dear Customer, we detected unusual activity on your account. Click the link below within 12 hours to verify your identity or your account will be suspended. http://login-secure-check.icu/verify-account?ref=75323",it.helpdesk@login-secure-check.icu,1,phishing
Final notice: Account closure in 24 hours,"We noticed a new device sign-in from an unrecognized location on the 3rd. If this was not you, click http://prize-claim-center.xyz/report-unauthorized immediately.",account.security@prize-claim-center.xyz,1,phishing
Welcome to our platform,"Hello Sam, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://company.com/details",team.updates@company.com,1,legitimate
Security Alert: Unusual login detected,"Congratulations! You have been selected to receive a $1,934.88 gift card. Claim your prize now by clicking here: http://secure-login-update.com/claim-prize before it expires on request #26299.",billing.department@secure-login-update.com,1,phishing
Your payment failed - update billing info,"We were unable to process your last payment of $1,954.32. Please update your billing details urgently at http://secure-login-update.com/billing-update to avoid service interruption.",billing.department@secure-login-update.com,1,phishing
We noticed a new device sign-in,"We noticed a new device sign-in from an unrecognized location on Monday, June 9. If this was not you, click http://verify-identity-now.top/report-unauthorized immediately.",it.helpdesk@verify-identity-now.top,1,phishing
Your monthly newsletter,"Welcome aboard, Priya! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account. More info at https://ourplatform.io/details",billing@ourplatform.io,1,legitimate
Bank Alert: Unauthorized transaction detected,"This is an automated alert from your bank. A transaction of $1,341.02 was flagged on March 14. Verify this transaction immediately at http://bank-alert-service.info/secure-verify or your card will be blocked.",support.team@bank-alert-service.info,1,phishing
Weekly team standup notes,"Hello Taylor, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates.",priya.nair@company.com,0,legitimate
Weekly team standup notes,"Hi Chris, following up on 44670 - let me know if you have any other questions, happy to help. More info at https://teamworkspace.com/details",alex.rivera@teamworkspace.com,1,legitimate
Your order has shipped,"Hello Chris, good news - your order #92684 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",billing@company.com,0,legitimate
You have won a prize! Claim now,URGENT: Your subscription (order #53478) has been cancelled due to a billing issue of $170.11. Renew immediately at http://login-secure-check.icu/renew-now to avoid losing your data.,billing.department@login-secure-check.icu,1,phishing
Welcome to our platform,"Hello, we'd love to hear your feedback on support ticket #81002 we recently resolved. Your input helps us improve our service. More info at https://company.com/details",priya.nair@company.com,1,legitimate
Reminder: Submit your timesheet,"Hi Alex, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",jordan.lee@notifications.service.com,0,legitimate
Confirm your identity to avoid suspension,Congratulations! You have been selected to receive a $600.08 gift card. Claim your prize now by clicking here: http://account-verify-now.net/claim-prize before it expires on request #27451.,no-reply@account-verify-now.net,1,phishing
Final notice: Account closure in 24 hours,Your parcel (tracking #49121) delivery failed due to an incomplete address. Confirm your details within 2 hours at http://account-verify-now.net/delivery-confirm to reschedule delivery.,billing.department@account-verify-now.net,1,phishing
Meeting reminder for tomorrow,"Hi Casey, attached is the invoice #29321 for your recent purchase of $1,938.39. Let us know if you have any questions about the charges or need a receipt.",alex.rivera@teamworkspace.com,0,legitimate
Security Alert: Unusual login detected,"Dear Sam, our system detected a login attempt from an unrecognized device on March 14. If this wasn't you, secure your account now at http://prize-claim-center.xyz/secure-login.",account.security@prize-claim-center.xyz,1,phishing
Weekly team standup notes,"Hello Morgan, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://ourplatform.io/details",alex.rivera@ourplatform.io,1,legitimate
Your monthly newsletter,"Hi everyone, please note that our servers will undergo scheduled maintenance on next Tuesday from 1 AM to 3 AM. Some services may be briefly unavailable.",support@notifications.service.com,0,legitimate
Reminder: Submit your timesheet,"Hi Sam, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",team.updates@notifications.service.com,0,legitimate
Weekly team standup notes,"Hello Alex, good news - your order #43444 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",jordan.lee@company.com,0,legitimate
Confirm your identity to avoid suspension,"Dear Customer, we detected unusual activity on your account. Click the link below within 24 hours to verify your identity or your account will be suspended. http://bank-alert-service.info/verify-account?ref=65444",billing.department@bank-alert-service.info,1,phishing
Upcoming maintenance window notice,"Hello, we'd love to hear your feedback on support ticket #18566 we recently resolved. Your input helps us improve our service.",jordan.lee@notifications.service.com,0,legitimate
Immediate action needed: Password expired,"We noticed a new device sign-in from an unrecognized location on next Tuesday. If this was not you, click http://bank-alert-service.info/report-unauthorized immediately.",it.helpdesk@bank-alert-service.info,1,phishing
Welcome to our platform,"Hi Priya, following up on 42285 - let me know if you have any other questions, happy to help.",billing@ourplatform.io,0,legitimate
Upcoming maintenance window notice,"Good morning team, here are the notes from this week's standup on Monday, June 9. Please review the action items and update your tickets accordingly.",jordan.lee@teamworkspace.com,0,legitimate
Invoice for your recent purchase,"Hello Chris, good news - your order #97897 has shipped and should arrive within 3-5 business days. You can track it using the link in your account. More info at https://notifications.service.com/details",billing@notifications.service.com,1,legitimate
Your payment failed - update billing info,"We noticed a new device sign-in from an unrecognized location on next Tuesday. If this was not you, click http://bank-alert-service.info/report-unauthorized immediately.",support.team@bank-alert-service.info,1,phishing
Upcoming maintenance window notice,"Welcome aboard, Alex! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account.",team.updates@teamworkspace.com,0,legitimate
Your package could not be delivered,This is an automated alert from your bank. A transaction of $433.36 was flagged on next Tuesday. Verify this transaction immediately at http://account-support-team.ru/secure-verify or your card will be blocked.,account.security@account-support-team.ru,1,phishing
Meeting reminder for tomorrow,"Welcome aboard, Priya! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account.",priya.nair@teamworkspace.com,0,legitimate
Final notice: Account closure in 24 hours,"Congratulations! You have been selected to receive a $1,990.84 gift card. Claim your prize now by clicking here: http://bank-alert-service.info/claim-prize before it expires on request #22214.",it.helpdesk@bank-alert-service.info,1,phishing
Immediate action needed: Password expired,Your account has been locked due to suspicious activity. Please confirm your username and password at http://secure-login-update.com/login-confirm to restore access. Case ID: 50306,account.security@secure-login-update.com,1,phishing
We noticed a new device sign-in,Your account has been locked due to suspicious activity. Please confirm your username and password at http://secure-login-update.com/login-confirm to restore access. Case ID: 32324,account.security@secure-login-update.com,1,phishing
Your receipt from teamworkspace.com,"Hi Casey, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time. More info at https://teamworkspace.com/details",support@teamworkspace.com,1,legitimate
Meeting reminder for tomorrow,"Hello, we'd love to hear your feedback on support ticket #48103 we recently resolved. Your input helps us improve our service. More info at https://teamworkspace.com/details",jordan.lee@teamworkspace.com,1,legitimate
Confirm your identity to avoid suspension,"Dear Customer, we detected unusual activity on your account. Click the link below within 6 hours to verify your identity or your account will be suspended. http://account-support-team.ru/verify-account?ref=39219",billing.department@account-support-team.ru,1,phishing
Immediate action needed: Password expired,"Dear Customer, we detected unusual activity on your account. Click the link below within 48 hours to verify your identity or your account will be suspended. http://account-support-team.ru/verify-account?ref=85223",account.security@account-support-team.ru,1,phishing
Re: 64959 follow-up,"Hello, we'd love to hear your feedback on support ticket #55109 we recently resolved. Your input helps us improve our service.",support@teamworkspace.com,0,legitimate
Feedback request for recent support ticket,"Hi Morgan, attached is the invoice #18250 for your recent purchase of $105.29. Let us know if you have any questions about the charges or need a receipt.",priya.nair@notifications.service.com,0,legitimate
Invoice for your recent purchase,"Good morning team, here are the notes from this week's standup on March 14. Please review the action items and update your tickets accordingly.",team.updates@company.com,0,legitimate
Invoice for your recent purchase,"Hi team, just a reminder that we have our project sync meeting on next Tuesday at 10 AM in the main conference room. Please bring your status updates. More info at https://notifications.service.com/details",alex.rivera@notifications.service.com,1,legitimate
Your monthly newsletter,"Hello Priya, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates.",priya.nair@notifications.service.com,0,legitimate
Upcoming maintenance window notice,"Hi Priya, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time. More info at https://company.com/details",team.updates@company.com,1,legitimate
Your receipt from ourplatform.io,"Hi Casey, following up on 44167 - let me know if you have any other questions, happy to help. More info at https://ourplatform.io/details",support@ourplatform.io,1,legitimate
Re: 60444 follow-up,"Hi Jordan, thanks for your order. Your receipt total was $2,357.91. Reach out anytime with questions.",alex.rivera@company.com,0,legitimate
Final notice: Account closure in 24 hours,"We were unable to process your last payment of $1,749.35. Please update your billing details urgently at http://verify-identity-now.top/billing-update to avoid service interruption.",support.team@verify-identity-now.top,1,phishing
Your package could not be delivered,Congratulations! You have been selected to receive a $453.17 gift card. Claim your prize now by clicking here: http://verify-identity-now.top/claim-prize before it expires on request #70012.,billing.department@verify-identity-now.top,1,phishing
Your package could not be delivered,Your account has been locked due to suspicious activity. Please confirm your username and password at http://account-support-team.ru/login-confirm to restore access. Case ID: 42435,account.security@account-support-team.ru,1,phishing
Bank Alert: Unauthorized transaction detected,Your password will expire in 6 hours. Click here to reset it now: http://prize-claim-center.xyz/reset-password and avoid losing access to your account.,it.helpdesk@prize-claim-center.xyz,1,phishing
Immediate action needed: Password expired,Your parcel (tracking #44513) delivery failed due to an incomplete address. Confirm your details within 48 hours at http://account-support-team.ru/delivery-confirm to reschedule delivery.,it.helpdesk@account-support-team.ru,1,phishing
Your payment failed - update billing info,Final Notice: Your account is scheduled for permanent closure on this Friday. Verify your information within 48 hours at http://account-verify-now.net/verify-now to prevent this.,account.security@account-verify-now.net,1,phishing
Reminder: Submit your timesheet,"Hello Morgan, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates.",team.updates@teamworkspace.com,0,legitimate
We noticed a new device sign-in,Final Notice: Your account is scheduled for permanent closure on August 21. Verify your information within 24 hours at http://verify-identity-now.top/verify-now to prevent this.,billing.department@verify-identity-now.top,1,phishing
You have won a prize! Claim now,"Congratulations! You have been selected to receive a $1,536.59 gift card. Claim your prize now by clicking here: http://bank-alert-service.info/claim-prize before it expires on request #75325.",support.team@bank-alert-service.info,1,phishing
Final notice: Account closure in 24 hours,"Dear Customer, we detected unusual activity on your account. Click the link below within 24 hours to verify your identity or your account will be suspended. http://bank-alert-service.info/verify-account?ref=86720",billing.department@bank-alert-service.info,1,phishing
Security Alert: Unusual login detected,"We noticed a new device sign-in from an unrecognized location on the 3rd. If this was not you, click http://login-secure-check.icu/report-unauthorized immediately.",account.security@login-secure-check.icu,1,phishing
Your invoice #53399 could not be processed,Final Notice: Your account is scheduled for permanent closure on August 21. Verify your information within 48 hours at http://billing-update-portal.co/verify-now to prevent this.,it.helpdesk@billing-update-portal.co,1,phishing
We noticed a new device sign-in,"This is an automated alert from your bank. A transaction of $1,876.82 was flagged on August 21. Verify this transaction immediately at http://secure-login-update.com/secure-verify or your card will be blocked.",support.team@secure-login-update.com,1,phishing
Final notice: Account closure in 24 hours,"Hi Taylor, invoice #62205 for $330.38 could not be processed. Update your payment method at http://secure-login-update.com/pay-now to avoid late fees.",no-reply@secure-login-update.com,1,phishing
Security Alert: Unusual login detected,Your account has been locked due to suspicious activity. Please confirm your username and password at http://account-support-team.ru/login-confirm to restore access. Case ID: 19742,support.team@account-support-team.ru,1,phishing
You have won a prize! Claim now,"Dear Sam, our system detected a login attempt from an unrecognized device on Monday, June 9. If this wasn't you, secure your account now at http://verify-identity-now.top/secure-login.",no-reply@verify-identity-now.top,1,phishing
Invoice for your recent purchase,"Hi Morgan, attached is the invoice #47342 for your recent purchase of $179.17. Let us know if you have any questions about the charges or need a receipt.",jordan.lee@teamworkspace.com,0,legitimate
Invoice for your recent purchase,"Good morning team, here are the notes from this week's standup on the 3rd. Please review the action items and update your tickets accordingly. More info at https://company.com/details",billing@company.com,1,legitimate
Your order has shipped,"Hello, we'd love to hear your feedback on support ticket #99740 we recently resolved. Your input helps us improve our service.",billing@company.com,0,legitimate
Confirm your identity to avoid suspension,"Hi Morgan, invoice #81529 for $1,223.81 could not be processed. Update your payment method at http://secure-login-update.com/pay-now to avoid late fees.",account.security@secure-login-update.com,1,phishing
Your invoice #72410 could not be processed,Your password will expire in 48 hours. Click here to reset it now: http://verify-identity-now.top/reset-password and avoid losing access to your account.,no-reply@verify-identity-now.top,1,phishing
We noticed a new device sign-in,This is an automated alert from your bank. A transaction of $453.95 was flagged on next Tuesday. Verify this transaction immediately at http://secure-login-update.com/secure-verify or your card will be blocked.,billing.department@secure-login-update.com,1,phishing
Meeting reminder for tomorrow,"Welcome aboard, Taylor! We're excited to have you join our platform. Here is a quick guide to help you get started with your new account.",alex.rivera@company.com,0,legitimate
Security Alert: Unusual login detected,"Dear Sam, our system detected a login attempt from an unrecognized device on the 3rd. If this wasn't you, secure your account now at http://bank-alert-service.info/secure-login.",support.team@bank-alert-service.info,1,phishing
Your monthly newsletter,"Hi everyone, please note that our servers will undergo scheduled maintenance on August 21 from 1 AM to 3 AM. Some services may be briefly unavailable.",support@notifications.service.com,0,legitimate
Final notice: Account closure in 24 hours,URGENT: Your subscription (order #56898) has been cancelled due to a billing issue of $875.87. Renew immediately at http://bank-alert-service.info/renew-now to avoid losing your data.,billing.department@bank-alert-service.info,1,phishing
Meeting reminder for tomorrow,"Hi Alex, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",jordan.lee@teamworkspace.com,0,legitimate
Security Alert: Unusual login detected,"We noticed a new device sign-in from an unrecognized location on March 14. If this was not you, click http://account-support-team.ru/report-unauthorized immediately.",no-reply@account-support-team.ru,1,phishing
Your monthly newsletter,"Hi team, just a reminder that we have our project sync meeting on the 3rd at 10 AM in the main conference room. Please bring your status updates. More info at https://teamworkspace.com/details",billing@teamworkspace.com,1,legitimate
We noticed a new device sign-in,"We were unable to process your last payment of $2,301.53. Please update your billing details urgently at http://login-secure-check.icu/billing-update to avoid service interruption.",it.helpdesk@login-secure-check.icu,1,phishing
Your monthly newsletter,"Hello Chris, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://teamworkspace.com/details",support@teamworkspace.com,1,legitimate
Weekly team standup notes,"Hello Sam, good news - your order #37665 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",alex.rivera@notifications.service.com,0,legitimate
Your receipt from teamworkspace.com,"Hello Jordan, good news - your order #96850 has shipped and should arrive within 3-5 business days. You can track it using the link in your account. More info at https://teamworkspace.com/details",jordan.lee@teamworkspace.com,1,legitimate
Your package could not be delivered,Congratulations! You have been selected to receive a $632.29 gift card. Claim your prize now by clicking here: http://billing-update-portal.co/claim-prize before it expires on request #28136.,support.team@billing-update-portal.co,1,phishing
Your invoice #34886 could not be processed,"URGENT: Your subscription (order #90352) has been cancelled due to a billing issue of $1,174.41. Renew immediately at http://login-secure-check.icu/renew-now to avoid losing your data.",account.security@login-secure-check.icu,1,phishing
Weekly team standup notes,"Hello Priya, good news - your order #49599 has shipped and should arrive within 3-5 business days. You can track it using the link in your account. More info at https://ourplatform.io/details",jordan.lee@ourplatform.io,1,legitimate
Your payment failed - update billing info,"Dear Chris, our system detected a login attempt from an unrecognized device on this Friday. If this wasn't you, secure your account now at http://prize-claim-center.xyz/secure-login.",support.team@prize-claim-center.xyz,1,phishing
Project update: Q3 milestones,"Hello, we'd love to hear your feedback on support ticket #83890 we recently resolved. Your input helps us improve our service.",alex.rivera@ourplatform.io,0,legitimate
Your receipt from notifications.service.com,"Hi Chris, thanks for your order. Your receipt total was $772.22. Reach out anytime with questions.",jordan.lee@notifications.service.com,0,legitimate
Your receipt from company.com,"Hello, we'd love to hear your feedback on support ticket #83272 we recently resolved. Your input helps us improve our service. More info at https://company.com/details",team.updates@company.com,1,legitimate
Reminder: Submit your timesheet,"Hello Sam, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates.",support@ourplatform.io,0,legitimate
Welcome to our platform,"Hi Morgan, attached is the invoice #39035 for your recent purchase of $96.97. Let us know if you have any questions about the charges or need a receipt. More info at https://company.com/details",team.updates@company.com,1,legitimate
Your monthly newsletter,"Hello Priya, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates.",priya.nair@teamworkspace.com,0,legitimate
Your receipt from teamworkspace.com,"Hello, we'd love to hear your feedback on support ticket #40396 we recently resolved. Your input helps us improve our service.",priya.nair@teamworkspace.com,0,legitimate
Urgent: Your account will be suspended,Your parcel (tracking #51910) delivery failed due to an incomplete address. Confirm your details within 24 hours at http://account-verify-now.net/delivery-confirm to reschedule delivery.,no-reply@account-verify-now.net,1,phishing
Reminder: Submit your timesheet,"Hi Casey, this is a friendly reminder to submit your timesheet for this week by end of day Friday so payroll can be processed on time.",support@company.com,0,legitimate
Re: 50380 follow-up,"Hello, we'd love to hear your feedback on support ticket #56844 we recently resolved. Your input helps us improve our service.",jordan.lee@company.com,0,legitimate
You have won a prize! Claim now,Your parcel (tracking #55688) delivery failed due to an incomplete address. Confirm your details within 2 hours at http://account-verify-now.net/delivery-confirm to reschedule delivery.,no-reply@account-verify-now.net,1,phishing
Security Alert: Unusual login detected,Your password will expire in 2 hours. Click here to reset it now: http://account-verify-now.net/reset-password and avoid losing access to your account.,support.team@account-verify-now.net,1,phishing
Confirm your identity to avoid suspension,Your password will expire in 2 hours. Click here to reset it now: http://billing-update-portal.co/reset-password and avoid losing access to your account.,no-reply@billing-update-portal.co,1,phishing
Your payment failed - update billing info,This is an automated alert from your bank. A transaction of $925.87 was flagged on the 3rd. Verify this transaction immediately at http://login-secure-check.icu/secure-verify or your card will be blocked.,billing.department@login-secure-check.icu,1,phishing
Your order has shipped,"Hello Alex, good news - your order #80184 has shipped and should arrive within 3-5 business days. You can track it using the link in your account.",priya.nair@notifications.service.com,0,legitimate
Meeting reminder for tomorrow,"Good morning team, here are the notes from this week's standup on March 14. Please review the action items and update your tickets accordingly.",billing@teamworkspace.com,0,legitimate
Your monthly newsletter,"Good morning team, here are the notes from this week's standup on this Friday. Please review the action items and update your tickets accordingly. More info at https://notifications.service.com/details",support@notifications.service.com,1,legitimate
Invoice for your recent purchase,"Hello Casey, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates.",billing@ourplatform.io,0,legitimate
Immediate action needed: Password expired,Your parcel (tracking #44524) delivery failed due to an incomplete address. Confirm your details within 48 hours at http://verify-identity-now.top/delivery-confirm to reschedule delivery.,account.security@verify-identity-now.top,1,phishing
Final notice: Account closure in 24 hours,"Hi Chris, invoice #17113 for $928.58 could not be processed. Update your payment method at http://billing-update-portal.co/pay-now to avoid late fees.",billing.department@billing-update-portal.co,1,phishing
Your receipt from ourplatform.io,"Hello Chris, thank you for subscribing to our newsletter. Here are this month's highlights from our blog and product updates. More info at https://ourplatform.io/details",billing@ourplatform.io,1,legitimate
